# Near Earth Objects Data
# Generated: 2025-11-27 20:51:01
# Total objects: 185

номер,Название,Обозначение,Перигелий,Афелий,Минимальное расстояние до Земли,Абсолютная магнитуда,Является NEO,Потенциально опасен
5645,,,0.829908,1.879,0.05399,17.23,True,False
5646,,,1.2096488,3.079,0.21137,15.5,True,False
5653,Camarillo,,1.2479613,2.34,0.28213,16.22,True,False
5660,,,0.4247547,3.146,0.16256,15.38,True,False
5693,,,0.527158,2.014,0.00586,16.78,True,True
5731,Zeus,,0.7874318,3.743,0.06472,15.47,True,False
5751,Zao,,1.2076696,2.995,0.23989,14.95,True,False
5786,Talos,,0.1872857,1.976,0.18861,17.14,True,False
5797,Bivoj,,1.0524131,2.735,0.07116,18.89,True,False
5828,,,0.5182122,2.878,0.39891,15.96,True,False
5836,,,1.1294029,3.752,0.18474,14.99,True,False
5863,Tara,,1.0940885,3.347,0.23068,15.84,True,False
5869,Tanith,,1.2302602,2.394,0.30996,17.22,True,False
5879,Almeria,,1.1548922,2.094,0.16754,17.61,True,False
6037,,,0.6361885,1.907,0.02415,18.86,True,True
6047,,,0.9424317,1.967,0.14041,17.84,True,False
6050,Miwablock,,1.239072,3.164,0.26804,14.94,True,False
6053,,,1.0122008,3.282,0.2225,15.1,True,False
6063,Jason,,0.5273128,3.912,0.07628,16.02,True,False
6178,,,1.1682843,4.459,0.17807,15.71,True,False
6239,Minos,,0.6762385,1.626,0.02609,18.59,True,True
6455,,,0.9568443,3.523,0.28847,14.08,True,False
6456,Golombek,,1.2966675,3.09,0.28168,16.06,True,False
6489,Golevka,,0.9631204,4.008,0.02457,19.22,True,True
6491,,,1.0248001,3.979,0.0429,18.72,True,True
6569,Ondaatje,,1.2673786,1.985,0.25362,16.63,True,False
6611,,,0.8741812,2.518,0.0598,16.82,True,False
7025,,,1.0109824,1.94,0.06296,18.08,True,False
7088,Ishtar,,1.2077695,2.754,0.2255,16.84,True,False
7092,Cadmus,,0.7800121,4.311,0.10149,15.12,True,False
7236,,,1.2002038,4.253,0.20152,18.32,True,False
